age,gender,education,marital-status,native-country,race,hours-per-week,capital-gain,workclass
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,5,0,Private
17,Female,11th,Never-married,Guatemala,White,15,0,Private
17,Female,11th,Never-married,India,White,18,1055,Private
17,Female,11th,Never-married,Poland,White,12,0,Private
17,Female,11th,Never-married,Puerto-Rico,White,20,0,Local-gov
17,Female,11th,Never-married,United-States,Amer-Indian-Eskimo,30,0,Local-gov
17,Female,11th,Never-married,United-States,Amer-Indian-Eskimo,15,0,Federal-gov
17,Female,11th,Never-married,United-States,Amer-Indian-Eskimo,20,0,Private
17,Female,11th,Never-married,United-States,Asian-Pac-Islander,24,0,Private
17,Female,11th,Never-married,United-States,Black,15,0,Private
17,Female,11th,Never-married,United-States,Black,40,0,Federal-gov
17,Female,11th,Never-married,United-States,Black,20,0,Never-worked
17,Female,11th,Never-married,United-States,Black,15,0,Private
17,Female,11th,Never-married,United-States,Black,25,0,Private
17,Female,11th,Never-married,United-States,Black,35,0,Private
17,Female,11th,Never-married,United-States,Black,30,0,Private
17,Female,11th,Never-married,United-States,Black,25,0,Private
17,Female,11th,Never-married,United-States,White,14,0,Private
17,Female,11th,Never-married,United-States,White,19,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,40,0,Local-gov
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,25,0,Private
17,Female,11th,Never-married,United-States,White,9,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,24,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,8,0,Private
17,Female,11th,Never-married,United-States,White,4,0,Self-emp-not-inc
17,Female,11th,Never-married,United-States,White,25,0,Private
17,Female,11th,Never-married,United-States,White,30,0,Private
17,Female,11th,Never-married,United-States,White,23,0,Private
17,Female,11th,Never-married,United-States,White,10,0,Private
17,Female,11th,Never-married,United-States,White,30,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,13,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,13,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,7,0,Private
17,Female,11th,Never-married,United-States,White,8,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Local-gov
17,Female,11th,Never-married,United-States,White,14,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,7,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,40,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,40,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,10,0,Private
17,Female,11th,Never-married,United-States,White,24,0,Private
17,Female,11th,Never-married,United-States,White,10,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,8,0,Private
17,Female,11th,Never-married,United-States,White,25,0,Private
17,Female,11th,Never-married,United-States,White,22,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,40,0,Private
17,Female,11th,Never-married,United-States,White,30,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,10,0,Private
17,Female,11th,Never-married,United-States,White,10,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,25,0,Local-gov
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,24,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,5,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Local-gov
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,7,0,Local-gov
17,Female,11th,Never-married,United-States,White,9,0,Private
17,Female,11th,Never-married,United-States,White,26,0,Private
17,Female,11th,Never-married,United-States,White,35,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,18,0,Private
17,Female,11th,Never-married,United-States,White,18,0,Private
17,Female,11th,Never-married,United-States,White,23,0,Private
17,Female,11th,Never-married,United-States,White,25,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,20,1055,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,8,0,Private
17,Female,11th,Never-married,United-States,White,8,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Private
17,Female,11th,Never-married,United-States,White,24,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,36,0,Private
17,Female,11th,Never-married,United-States,White,35,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Local-gov
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,12,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,15,0,Private
17,Female,11th,Never-married,United-States,White,16,0,Local-gov
17,Female,11th,Never-married,United-States,White,32,0,Private
17,Female,11th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,Black,15,0,Local-gov
17,Female,12th,Never-married,United-States,White,25,0,Private
17,Female,12th,Never-married,United-States,White,25,0,Private
17,Female,12th,Never-married,United-States,White,8,0,Private
17,Female,12th,Never-married,United-States,White,30,0,Private
17,Female,12th,Never-married,United-States,White,18,0,Private
17,Female,12th,Never-married,United-States,White,16,0,Private
17,Female,12th,Never-married,United-States,White,6,0,Private
17,Female,12th,Never-married,United-States,White,8,0,Private
17,Female,12th,Never-married,United-States,White,24,0,Private
17,Female,12th,Never-married,United-States,White,30,0,Private
17,Female,12th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,White,12,0,Local-gov
17,Female,12th,Never-married,United-States,White,23,0,Private
17,Female,12th,Never-married,United-States,White,16,0,Private
17,Female,12th,Never-married,United-States,White,20,594,Private
17,Female,12th,Never-married,United-States,White,15,0,Private
17,Female,12th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,White,8,0,Private
17,Female,12th,Never-married,United-States,White,18,0,Private
17,Female,12th,Never-married,United-States,White,15,0,Private
17,Female,12th,Never-married,United-States,White,25,0,Private
17,Female,12th,Never-married,United-States,White,20,0,Private
17,Female,12th,Never-married,United-States,White,16,0,Self-emp-inc
17,Female,12th,Never-married,United-States,White,6,0,Private
17,Female,12th,Never-married,United-States,White,30,0,Private
17,Female,12th,Never-married,United-States,White,16,0,Private
17,Female,5th-6th,Never-married,United-States,White,20,0,Private
17,Female,9th,Never-married,Mexico,Other,32,0,Private
17,Female,9th,Never-married,United-States,Black,40,0,Private
17,Female,9th,Never-married,United-States,White,35,0,Private
17,Female,9th,Never-married,United-States,White,20,0,Private
17,Female,9th,Never-married,United-States,White,16,0,Private
17,Female,9th,Never-married,United-States,White,30,0,Private
17,Female,9th,Never-married,United-States,White,20,0,Private
17,Female,9th,Never-married,United-States,White,15,0,Private
17,Female,9th,Never-married,United-States,White,40,0,Self-emp-inc
17,Female,9th,Never-married,United-States,White,10,0,Private
17,Female,9th,Never-married,United-States,White,20,0,Private
17,Female,HS-grad,Never-married,United-States,Black,16,0,Private
17,Female,HS-grad,Never-married,United-States,White,35,0,Private
17,Female,HS-grad,Never-married,United-States,White,20,0,Private
17,Female,HS-grad,Never-married,United-States,White,40,0,Private
17,Female,HS-grad,Never-married,United-States,White,15,0,Private
17,Female,HS-grad,Never-married,United-States,White,20,0,Private
17,Female,HS-grad,Never-married,United-States,White,5,0,Private
17,Female,Some-college,Never-married,United-States,White,6,0,Private
17,Male,10th,Married-spouse-absent,United-States,White,40,0,Private
17,Male,10th,Never-married,Canada,White,10,0,Private
17,Male,10th,Never-married,El-Salvador,White,10,0,Private
17,Male,10th,Never-married,El-Salvador,White,20,0,Private
17,Male,10th,Never-married,Mexico,White,40,0,Private
17,Male,10th,Never-married,United-States,Amer-Indian-Eskimo,20,0,Private
17,Male,10th,Never-married,United-States,Black,35,0,Self-emp-inc
17,Male,10th,Never-married,United-States,Black,15,0,Private
17,Male,10th,Never-married,United-States,Black,20,0,Private
17,Male,10th,Never-married,United-States,Black,15,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Local-gov
17,Male,10th,Never-married,United-States,White,4,0,Self-emp-inc
17,Male,10th,Never-married,United-States,White,25,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Never-worked
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,10th,Never-married,United-States,White,25,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,24,0,Private
17,Male,10th,Never-married,United-States,White,18,0,Private
17,Male,10th,Never-married,United-States,White,40,0,State-gov
17,Male,10th,Never-married,United-States,White,30,0,State-gov
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,16,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,10,0,Private
17,Male,10th,Never-married,United-States,White,35,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,10th,Never-married,United-States,White,8,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Self-emp-inc
17,Male,10th,Never-married,United-States,White,10,0,Private
17,Male,10th,Never-married,United-States,White,12,0,Self-emp-inc
17,Male,10th,Never-married,United-States,White,25,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,30,594,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,10th,Never-married,United-States,White,5,0,Private
17,Male,10th,Never-married,United-States,White,8,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,30,0,Private
17,Male,10th,Never-married,United-States,White,25,0,Private
17,Male,10th,Never-married,United-States,White,12,0,Private
17,Male,10th,Never-married,United-States,White,10,0,Private
17,Male,10th,Never-married,United-States,White,35,0,Self-emp-not-inc
17,Male,10th,Never-married,United-States,White,16,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,20,0,Private
17,Male,10th,Never-married,United-States,White,16,0,Private
17,Male,10th,Never-married,United-States,White,24,0,Private
17,Male,10th,Never-married,United-States,White,5,594,Private
17,Male,10th,Never-married,United-States,White,26,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Self-emp-inc
17,Male,10th,Never-married,United-States,White,14,0,Private
17,Male,10th,Never-married,United-States,White,15,0,Private
17,Male,10th,Never-married,United-States,White,8,0,Private
17,Male,10th,Never-married,United-States,White,10,0,Self-emp-not-inc
17,Male,10th,Never-married,United-States,White,25,0,Private
17,Male,10th,Never-married,United-States,White,12,0,Private
17,Male,10th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,Canada,White,40,0,Private
17,Male,11th,Never-married,England,White,20,0,Private
17,Male,11th,Never-married,Haiti,Black,16,0,Private
17,Male,11th,Never-married,Peru,White,20,0,Private
17,Male,11th,Never-married,Philippines,White,14,0,Private
17,Male,11th,Never-married,Puerto-Rico,White,10,0,Private
17,Male,11th,Never-married,United-States,Amer-Indian-Eskimo,20,0,Private
17,Male,11th,Never-married,United-States,Black,20,0,Private
17,Male,11th,Never-married,United-States,Black,18,0,Private
17,Male,11th,Never-married,United-States,Black,17,0,Private
17,Male,11th,Never-married,United-States,Black,15,0,Local-gov
17,Male,11th,Never-married,United-States,Black,20,0,Private
17,Male,11th,Never-married,United-States,Black,20,0,Private
17,Male,11th,Never-married,United-States,Other,12,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,6,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,45,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,28,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,16,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,10,0,Private
17,Male,11th,Never-married,United-States,White,10,0,Private
17,Male,11th,Never-married,United-States,White,17,0,Private
17,Male,11th,Never-married,United-States,White,18,2176,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,16,0,Private
17,Male,11th,Never-married,United-States,White,10,0,Self-emp-not-inc
17,Male,11th,Never-married,United-States,White,17,0,Private
17,Male,11th,Never-married,United-States,White,17,0,Private
17,Male,11th,Never-married,United-States,White,7,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,18,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,32,0,Private
17,Male,11th,Never-married,United-States,White,16,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,35,0,Local-gov
17,Male,11th,Never-married,United-States,White,10,0,Private
17,Male,11th,Never-married,United-States,White,5,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,20,2176,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Self-emp-not-inc
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,10,594,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Self-emp-inc
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,40,594,Private
17,Male,11th,Never-married,United-States,White,16,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,25,0,Private
17,Male,11th,Never-married,United-States,White,16,0,Private
17,Male,11th,Never-married,United-States,White,6,0,Private
17,Male,11th,Never-married,United-States,White,12,0,Private
17,Male,11th,Never-married,United-States,White,15,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Local-gov
17,Male,11th,Never-married,United-States,White,20,1055,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Local-gov
17,Male,11th,Never-married,United-States,White,10,0,Private
17,Male,11th,Never-married,United-States,White,5,0,Private
17,Male,11th,Never-married,United-States,White,22,0,Private
17,Male,11th,Never-married,United-States,White,18,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,30,0,Private
17,Male,11th,Never-married,United-States,White,20,0,Self-emp-not-inc
17,Male,11th,Never-married,United-States,White,20,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,11th,Never-married,United-States,White,40,0,Private
17,Male,12th,Never-married,Columbia,White,15,0,Private
17,Male,12th,Never-married,United-States,Black,18,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,35,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,15,0,Self-emp-not-inc
17,Male,12th,Never-married,United-States,White,45,0,Self-emp-not-inc
17,Male,12th,Never-married,United-States,White,40,0,Private
17,Male,12th,Never-married,United-States,White,25,0,Private
17,Male,12th,Never-married,United-States,White,16,0,Private
17,Male,12th,Never-married,United-States,White,18,0,Private
17,Male,12th,Never-married,United-States,White,12,0,Private
17,Male,12th,Never-married,United-States,White,16,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,16,0,Private
17,Male,12th,Never-married,United-States,White,32,0,Private
17,Male,12th,Never-married,United-States,White,7,0,Private
17,Male,12th,Never-married,United-States,White,17,0,Private
17,Male,12th,Never-married,United-States,White,15,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,35,0,Private
17,Male,12th,Never-married,United-States,White,12,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,20,0,Private
17,Male,12th,Never-married,United-States,White,18,0,Private
17,Male,12th,Never-married,United-States,White,15,0,Private
17,Male,5th-6th,Never-married,Mexico,White,48,0,Private
17,Male,5th-6th,Never-married,United-States,White,30,0,Private
17,Male,7th-8th,Never-married,Mexico,Other,40,0,Private
17,Male,7th-8th,Never-married,Mexico,White,36,0,Private
17,Male,7th-8th,Never-married,United-States,White,45,0,Private
17,Male,7th-8th,Never-married,United-States,White,8,0,Private
17,Male,9th,Married-civ-spouse,United-States,White,40,0,Private
17,Male,9th,Never-married,Mexico,White,40,0,Private
17,Male,9th,Never-married,United-States,Black,26,0,Private
17,Male,9th,Never-married,United-States,Black,40,0,Private
17,Male,9th,Never-married,United-States,Black,20,0,Private
17,Male,9th,Never-married,United-States,Black,22,0,Private
17,Male,9th,Never-married,United-States,Black,9,0,Local-gov
17,Male,9th,Never-married,United-States,Black,35,0,Private
17,Male,9th,Never-married,United-States,White,40,0,Private
17,Male,9th,Never-married,United-States,White,8,0,Private
17,Male,9th,Never-married,United-States,White,20,0,Private
17,Male,9th,Never-married,United-States,White,45,0,Local-gov
17,Male,9th,Never-married,United-States,White,15,0,Private
17,Male,9th,Never-married,United-States,White,16,0,Private
17,Male,9th,Never-married,United-States,White,20,0,Private
17,Male,9th,Never-married,United-States,White,20,0,Private
17,Male,9th,Never-married,United-States,White,50,0,Private
17,Male,9th,Never-married,United-States,White,24,1055,Private
17,Male,9th,Never-married,United-States,White,12,0,Private
17,Male,9th,Never-married,United-States,White,40,0,Private
17,Male,9th,Never-married,United-States,White,6,0,Private
17,Male,HS-grad,Never-married,Mexico,White,35,0,Private
17,Male,HS-grad,Never-married,United-States,Black,40,0,Private
17,Male,HS-grad,Never-married,United-States,White,20,0,Private
17,Male,HS-grad,Never-married,United-States,White,40,0,Private
17,Male,HS-grad,Never-married,United-States,White,20,0,Private
17,Male,Some-college,Never-married,United-States,White,20,0,Private
17,Male,Some-college,Never-married,United-States,White,16,0,Private
18,Female,10th,Never-married,United-States,Amer-Indian-Eskimo,40,0,Private
18,Female,10th,Never-married,United-States,Black,20,0,Private
18,Female,10th,Never-married,United-States,Black,40,0,Private
18,Female,10th,Never-married,United-States,White,25,0,Private
18,Female,10th,Never-married,United-States,White,30,0,Private
18,Female,10th,Never-married,United-States,White,40,0,Private
18,Female,10th,Never-married,United-States,White,20,0,Private
18,Female,10th,Never-married,United-States,White,20,0,Private
18,Female,10th,Never-married,United-States,White,15,0,Private
18,Female,10th,Never-married,United-States,White,35,0,Private
18,Female,10th,Never-married,United-States,White,6,0,Local-gov
18,Female,10th,Never-married,United-States,White,12,0,Private
18,Female,10th,Never-married,United-States,White,28,0,Private
18,Female,10th,Never-married,United-States,White,16,0,Private
18,Female,10th,Never-married,United-States,White,3,0,Private
18,Female,11th,Married-civ-spouse,United-States,Other,20,0,Private
18,Female,11th,Never-married,Mexico,White,8,0,Private
18,Female,11th,Never-married,United-States,Amer-Indian-Eskimo,25,0,Private
18,Female,11th,Never-married,United-States,Asian-Pac-Islander,20,0,Private
18,Female,11th,Never-married,United-States,Black,40,0,Local-gov
18,Female,11th,Never-married,United-States,Black,20,0,Private
18,Female,11th,Never-married,United-States,Black,20,0,Private
